Part 2a
The sum the total length of all movies: 167446
Part 2b
 Popularity   |      Movie Title
     78       |   Rain People, The                        
     78       |   Lion in Winter, THe                     
     78       |   Apache                                  
     78       |   Get Out Your Handkerchiefs              
     78       |   Bloodsport                              
     78       |   Hot to Trot                             
     78       |   JFK                                     
     78       |   Circuitry Man                           
     78       |   A Year of the Quiet Sun                 
     77       |   Ferry to Hong Kong                      
     77       |   True Grit                               
     77       |   Criss Cross                             
     77       |   Goldfinger                              
     77       |   Superman IV: The Quest for Peace        
     77       |   Adventures of Smilin' Jack, The         
     77       |   Salvador                                
     77       |   Madonna, Justify My Love                
     77       |   Range Feud                              
     77       |   Never on Tuesday                        
     77       |   Until They Sail                         
     77       |   Pink Panther, The                       
     77       |   Dangerous Liaisons                      
     77       |   El Guerrero Solitario                   
     77       |   Asphalt Jungle, The                     
     77       |   Experiment in Terror                    
     76       |   Blood on the Sun                        
     76       |   Rooster Cogburn                         
     76       |   Cyrano de Bergerac                      
     76       |   Lodger (Story of the London Fog)        
     76       |   Horse Soldiers, The                     
     76       |   A Day in October                        
     76       |   Salome's Last Dance                     
     76       |   Reds                                    
     76       |   Posse                                   
     76       |   Stealing Home                           
     76       |   Romulus & the Sabines                   
     76       |   Black Sunday                            
     76       |   Absence of Malice                       
     76       |   Marathon                                
     76       |   Keeper of the Flame                     
     76       |   In Country                              
     75       |   A Streetcar Named Desire                
     75       |   Julia                                   
     75       |   Dodesukaden                             
     75       |   Defending Your Life                     
     75       |   Roma                                    
     75       |   RAD                                     
     75       |   Crash & Burn                            
     75       |   Alone in the Dark                       
     75       |   Sara Dane                               
     75       |   Battle of Midway, The                   
     75       |   Burn!                                   
     75       |   Best Defense                            
     75       |   Jamaica Inn                             
     75       |   Wild Party, The                         
     75       |   Man Who Haunted Himself, The            
     75       |   Pretty in Pink                          
     75       |   Buffet Froid                            
     75       |   Madonna Live, The Virgin Tour           
     75       |   Appointment with Death                  
     75       |   Unsettled Land                          
     75       |   Another You                             
     75       |   Closely Watched Trains                  
     75       |   Sea of Grass, The                       
     75       |   Randy Rides Alone                       
     75       |   Getting Physical                        
     75       |   American Autobahn                       
     75       |   Magic Christian, The                    
     75       |   Wild Times                              
     74       |   Meeting Venus                           
     74       |   Raintree County                         
     74       |   Best Friends                            
     74       |   Sabotage                                
     74       |   Kriemhild's Revenge, The Nibelungenlied 
     74       |   Kagemusha                               
     74       |   Act of Piracy                           
     74       |   Camille                                 
     74       |   Ciao Italia, Madonna Live from Italy    
     74       |   Under Capricorn                         
     74       |   Hell Comes to Frogtown                  
     74       |   American Anthem                         
     74       |   Fifth Floor, The                        
     74       |   Fighting Kentuckian, The                
     74       |   Why Me?                                 
     74       |   Quiet Man, The                          
     74       |   Mystic Pizza                            
     73       |   Six Weeks                               
     73       |   Clan of the Cave Bear, The              
     73       |   Reversal of Fortune                     
     73       |   Neath Arizona Skies                     
     73       |   Bang the Drum Slowly                    
     73       |   Boom Town                               
     73       |   Border Street                           
     73       |   Unfaithfully Yours                      
     73       |   Law of Desire                           
     73       |   Joyless Street                          
     73       |   Yesterday, Today & Tomorrow             
     73       |   Mc Q                                    
     73       |   Planes, Trains & Automobiles            
     73       |   Frontier Horizon                        
     73       |   Ransom                                  
     73       |   Single Standard, The                    
     73       |   Black Rain                              
     73       |   State of Things, The                    
     73       |   Gator Bait II                           
     72       |   Chisum                                  
     72       |   Beat Street                             
     72       |   Three Godfathers                        
     72       |   Novice, The                             
     72       |   Nightbreed                              
     72       |   Sands of Iwo Jima                       
     72       |   Bandits of Dark Canyon                  
     72       |   Fire, Ice & Dynamite                    
     72       |   In a Shallow Grave                      
     72       |   Great McGonagall, The                   
     72       |   Indigo Autumn & Lilac Dream             
     72       |   Count of Old Town, The                  
     72       |   Hearts of Darkness, A Filmmaker's Apocalypse
     72       |   Mysterious Lady, The                    
     72       |   Z                                       
     72       |   Dirty Harry                             
     72       |   Conformist, The                         
     72       |   Driver's Seat, The                      
     72       |   Le Dernier Combat                       
     72       |   Hear My Song                            
     72       |   Flesh & the Devil, The                  
     72       |   Stage Fright                            
     71       |   Allnighter, The                         
     71       |   Dear Brigitte                           
     71       |   Programmed to Kill                      
     71       |   Assault, The                            
     71       |   A Dry White Season                      
     71       |   Vera Cruz                               
     71       |   Baja Oklahoma                           
     71       |   Accused, The                            
     71       |   Year My Voice Broke, The                
     71       |   Dragonfight                             
     71       |   Four Horsemen of the Apocalypse, The    
     71       |   Betty Blue                              
     71       |   Mon Oncle D'Amerique                    
     71       |   Prettykill                              
     71       |   A Chorus Line, The Movie                
     71       |   Riff Raff                               
     71       |   Wings of Desire                         
     71       |   Mysterious Mr. Wong                     
     71       |   Killjoy                                 
     71       |   Mogambo                                 
     71       |   Dragonard                               
     70       |   Shoot Loud, Louder, I Don't Understand! 
     70       |   Front, The                              
     70       |   Il Bidone                               
     70       |   To Live & Die in L. A.                  
     70       |   Flight to Fury                          
     70       |   Hot Spot                                
